song_id,Release Date,Length,emotion,Popularity
7203bdf09ba36e70a1604446fecfa58f26e7f09c64eb8be5a18ba71934eb9edc,2022-05-20,02:47,sadness,91
6a162334e0a95b3991e28e807612220cf48ad5b857bf67e7852c6a00b6788302,2024-01-26,03:07,anger,84
2e1970c30a3a3229d43cb08800464ee30bd743950fc38bb5b6f27516a230b815,2022-07-01,02:45,surprise,83
6f20cdf4e6a297bf4ba72a16516933dbaa47949b97d9b45cb8ae0f857c943c6c,2022-07-01,02:45,joy,83
30f3ef2d8e4bbcc0475d3c97e701988ded99da104ce3c8d69a5cb7e3cd91dc98,2022-07-01,02:45,joy,83
ce66a3847b94f6306edcd3def8cb23bd93047f4e42989e769e5a3c4d0d4143e5,2022-07-01,02:45,joy,83
030f4211b73dd5c38a2361f1575e79a89d8ba3228a9d369ac86394126dd94167,2022-07-01,02:45,joy,83
266f8ae23064df34d0d3b20a2eca552adb98795a5cdec293a74de6ccffdabbca,2022-07-01,02:45,fear,83
80ee7cae807f2202798f0c4f245bc64d866a71c27e450d241ae12c64a9202213,2022-07-01,02:45,sadness,83
90a372cb0c4389af8f64ac484aba45e43aec7077ff821768efc2fe4a5526b99d,2022-07-01,02:45,surprise,83
2f22feec0ff639de3358e88a939dc3d0b090887026451335984026e585929955,2022-07-01,02:45,surprise,82
9215be69d231e56a2c6500b56c63f0db0b3005b68189c8c450e22240c22fa968,2022-07-01,02:45,joy,83
95375f5aa383d7422d7e82009d335df6cb80912ccd2d3d5956155452750b00f7,2012-09-04,02:57,sadness,84
64a4f2c0e3e9bc45b5ad37835d7bd4fd79d62d4e71e9a6660c629054313da681,2014-12-09,04:52,joy,90
301f48d5347d9d87c6bcbe2ad6cd26e7b845080646a7659de6c0adec0fd7a140,2014-12-09,03:59,joy,85
1261a2089f3367e9fddaae732883440466167e29fbd62f47be6557a72cb6f9b5,2023-11-10,02:18,joy,85
2b2d6524a39cb0dca6c98505eadd711f9e27f939bac83644a5c4dfa06d0ae293,2008-05-01,04:02,joy,84
bd72d600ad694f79b6016f86769e27c2a09f7c3fc244d481b58c7fb7f5c4466f,2008-05-01,04:02,love,84
db094efc97a5a00ca32780a3bf1e4704522d086cee969dfb75e0103df0f09b6b,2013-08-30,04:29,joy,83
0ac82e2ff387c7718c6365ad3a42642223464701b231399077dce848e2362dca,2018-12-10,02:45,anger,82
8b7ac9afce8ba62ef4cffc652db9cbf7d0dd58d6fb3d0f8e3dcc6448182e643d,2018-12-10,03:59,sadness,82
c691eabd25a47fc5db2dd8a08286d33b44cb3d5c8dc3982584bc183e9239bcb4,2018-12-10,03:59,sadness,82
6ad64f6bda825cfdaa19538418be125e65f2413e68ef08d1b3a424f0519ec6aa,2018-12-10,03:59,joy,83
a9b1540eb0eee1cc4a4202b881b90e6347c753b56312a107418ab13177216d3a,2018-12-10,03:59,anger,82
ae32f7cf2305250d8a71b4c4258e1f796eb649d391d55506feeda4936123411e,2018-12-10,03:59,sadness,83
c7fac668b420163548a6d501567d538d815e0455bc9dae74f0f7d7a821403324,2018-12-10,03:59,anger,82
1908000170a47e1db036a80168161795059631f2ba9a4662666844c366f612db,2018-12-10,03:59,anger,82
587a139cb01de7b16f838a0390095ea4b5a1ecfaa9dc4d232cf972e5d26239c4,2018-12-10,03:59,fear,82
1dd94e3b59a4d22ff771c99edfa9900b9548efa82e44da1177edfb5aa8486813,2018-12-10,03:59,anger,82
ad5997d3a14ad8993eb897d16356874d3452d085179aced4410bfbae2f6ea3bb,2015-11-13,03:20,anger,83
e61e9b908007714d0d2481d56310c269be673e10b3ac689287c15413ba1c6ebc,2015-11-13,03:20,anger,82
018bfb781005eab2782ae91e391960f99b65746aad0c1f341df409b8c302c1d7,2020-12-04,02:40,anger,82
c78482b5c36f7063eb8c8a782dff1816893123e148f4e256a95a5960bd8abbcb,2007-09-11,04:31,joy,83
39dd60670c6239f535c3850a49487fed77f91884ecccd88d5f9671f3f27a7319,1985-09-16,04:58,joy,83
6970c9b17cfc0d446535c6773113f04c9f3d1678d67860a74ab769560783dcd9,1985-09-16,04:58,sadness,83
e33c5edbe0c74e1a40a55490fb7ea02df21708be8dcd2260470ba43446f9572b,1985-09-16,04:58,sadness,83
66b96365401dc53a8371a897264d1f271ca2fe9d32dbd86ec4f6d47435a58753,1985-09-16,04:58,sadness,83
c59507e343722ff40cc54603898905a5dff7d47e1c0efe8b478d8d96641b2d09,2017-04-14,04:35,fear,84
88fe0a328873f5694098e51b0f1ce6b1fc7ce021a2db94034957b7eadd976db8,2017-04-14,04:35,joy,83
dc0d27ba04d7d847bca3d185efed119ca6aac4328e0d6570fb658e54ee27c519,2017-04-14,04:35,sadness,84
749551522e4d7328001aa017f2b7ffd514ae139f6bf8cfce18fb89180e58db5b,2024-05-04,04:34,joy,97
bc2f243d20db1a21246bb7f574edc02eeb9ab4b1162d5867ae88bbc800586021,2024-05-04,04:34,joy,97
6f64b399ca9d7de6a31c0d1a24ff23cbb362926c7e5a4af5c7c6c3ed017e469f,2010-01-01,03:19,sadness,84
42e8156834c7ebd5585c9d73d2fc122dbb19e443c95b5c5b06249a2bb2daa50a,2017-04-27,03:22,joy,81
1074c03774dada07826d0578e16ddf8486fe74e02ffb5b90a6b7cb13e78d1ba4,2018-10-05,03:30,sadness,81
4cd38d1df21be429ccb1bd5f3205d7ae21927ee50db22b5d6f06a7aefc6d1b88,2019-08-30,05:00,anger,82
a190b44bb58a8d7b6633347ff04c525b9cfa28272d6c986bb34922c8750c5ff4,2023-05-19,03:29,sadness,84
b4e41a1414f353d19ee3f68827b3090d2ea3ab23aaec7fc234a27686639db297,2014-01-01,04:16,love,83
4a09906d9f65854883eb7595b10ab763e389bb10a368096206fb0061599c498e,2013-01-01,03:56,love,86
bd3a3cf4fb60a4f6fd68d79657cc8a21caa2848a59d77571fcbb3d2ed7e22b70,2015-08-17,02:22,anger,82
3bf8a997a174530cf4805ef4862d30cb997fb95681238988eeb0b8ca8debcb84,2015-08-17,02:22,sadness,82
0566b347d67130184a1eee24dd6156860110b70f61ce08331b4c34ec80320e54,2015-08-17,02:22,fear,82
07ee1c6eed46d24191668cd3041972f1c2a84f8be793417907da36a279ce6c5a,2019-08-30,02:11,anger,82
b4408ea39ec06ea75e7d3178c1e03d5fcc51735aebafd98870139eadb3749933,2019-08-30,02:11,joy,82
9a7fc3ab4a83c146959fe138320fcd5db8fd7c724b7ff691cefa35ad2cafda84,2017-11-17,03:40,joy,82
f553ca1a37672b26c8544be1c4d9b013c3fe5899fc4f610f8784ff49a409ed5d,2017-11-17,03:40,anger,81
68bd9dfa25c1f8edf762139ea76e45c62ce5d76ffce5b63753128e6424f24ff8,2017-08-25,03:02,anger,82
eed160ba92dfc8dc2c7898ac0d525c4d1f6e1c539ed3f50e6e2b2672c3212e9e,2017-11-17,03:40,anger,82
ba2cfa3694b4d02dc52cb7a96e7c702718ac6ed1e876d45f33608882f67fea72,2017-11-17,03:40,anger,82
25736164780b869c557457abdd2beedfe27429de6d9b7c685b06a5376312df3a,2017-11-17,03:40,joy,81
22868a91b1a4929b9e40d26afd2dd603b0ce2f126c9c0d2d152c50764d559462,2017-11-17,03:40,sadness,81
90210576c4873ad06b8bd899e634dadb848de68b6197d5ebe67701518873313b,2017-11-17,03:40,anger,82
1dda197731f700aa71d9e4bb506ccf5981e482e946d883a839b056d260c45c7c,2017-11-17,03:40,anger,82
02e0bef2690dbaf0b866757beba3a9caedbe620ade139654572f4bd7e9f08c31,2017-08-25,03:02,sadness,82
7a216a1c73e27d04eb33fd2cf894aa155df9a56b139e89aee3ed2571d6a713e1,2017-08-25,03:02,sadness,82
6ba580357e4159cac21cbb359424893c0ae51390a13959b1ba6d4f90c401e62e,2013-01-01,04:15,sadness,81
a6053216ee322256df2a670dacf2ed255b9f0c7c84679f16a7da481c53547b88,1999-08-13,02:46,sadness,82
6848eb76cb67a0664d2e2984b633260331bdd47e534f5929025029763072f4b1,1999-08-13,02:46,anger,82
be2515c1a1f7c28b0e6e2c7bcfec572b57ca01cd5c9667323c2e3892caf74444,2024-08-07,03:36,joy,86
47b7da029cc8c1f387774f7012e723fd99c8e1f595a6de615b4ccb28f950cd6a,2003-09-16,02:42,sadness,81
388fc8f46c9120cafe879414e839c3d281887d28beec7cff84bfd01369e6f1ec,2024-07-27,02:37,anger,81
1d5a8e5cab2b954bad411faf600caf50e05b619ca75f57f07cfde76e91d9e157,2024-03-12,03:36,joy,89
5dfbab601753ebc037878d3fd647a41c4af9916a863554441448a76ee0a3a403,2003-09-16,02:42,sadness,83
db637d1201c2c3cb1890dec76e583d49e381d443e8a6bc63241d1270d2bd1072,2003-09-16,03:05,fear,88
e659a62259c3c5fc313ee32979458c3f99f2ad22e88b61f2312c295c07a70e19,2013-09-27,03:10,sadness,82
a76d6881f35d3739e07ab82509a99569e47e346d9c35909a75a8c30252315917,2016-04-01,03:57,anger,82
2c3e35a9294d8dcb81886ae6e303e030637266838344bf639bd41abd9f36cc28,2016-04-01,03:57,anger,82
fc2faf4600cdc5a838fd777e847fd5cf43d7eeb0785c1321264066c3c8122aee,2016-04-01,03:57,sadness,82
ed30a6e19dedbec93661c88b9595c12598a84a60503fd316661eb467793c24ad,2016-04-01,03:57,sadness,83
30d7698b41faef684a7c065ebc539ef89ed16ea9f153903a91764de4b1061e14,2016-04-01,03:57,love,82
7bfe667d033d25fedb55db78e142800a5714daefa60d5b49cd20d5b6a18030bb,2016-04-01,03:57,joy,82
68f7b825f7583ad61434a7389db957105f6a20d18a5005a21f25f4a5f69facd3,2016-04-01,03:57,sadness,82
b2c976057f531add8e20c244f9eb29ef5ff5951dd94ab3d530979f9c3c89cb11,2016-04-01,03:57,sadness,82
9114e869bb99468335a05cce53dec411bdfaa21ff209d6d713e1b169ea3dae1f,2016-04-01,03:57,joy,82
6de5aeaecbab919310be93655b783b2c357b1f792e66bad4e26a86eafc74a65d,2016-04-01,03:57,anger,83
4b40fa9bfdf70238feee1a4ba00bcced1f8b5d071147133d5e0d9c84d600ef47,2016-04-01,03:57,joy,82
856ea8ccb9f75361c3cc1a205abbe6fad22dc0da8be06f2919deba91decc7f38,2019-11-08,03:06,joy,81
